"Size*Scatter"	"Shuffle*Quick"	"Leaf*Cache*BranchMerge"	Cycles
"208064x10"	"5x16"	"CMOVxTxT"	12918468
"32xF"	"FxF"	"CMOVxTxF"	2948
"32xF"	"FxF"	"CMOVxTxF"	2812
"32xF"	"FxF"	"CMOVxTxF"	2712
"32xF"	"FxF"	"CMOVxTxF"	2692
"32xF"	"FxF"	"CMOVxTxF"	2636
"898885x500"	"Tx32"	"TxFxF"	709317140
"898885x500"	"Tx32"	"TxFxF"	716820940
"898885x500"	"Tx32"	"TxFxF"	718072164
"898885x500"	"Tx32"	"TxFxF"	706972920
"898885x500"	"Tx32"	"TxFxF"	712189536
"138x10"	"50x16"	"TxFxT"	18612
"138x10"	"50x16"	"TxFxT"	18236
"138x10"	"50x16"	"TxFxT"	18212
"138x10"	"50x16"	"TxFxT"	17668
"138x10"	"50x16"	"TxFxT"	17804
"898885x10"	"100xF"	"FxTxF"	293181344
"898885x10"	"100xF"	"FxTxF"	292293084
"898885x10"	"100xF"	"FxTxF"	294588324
"898885x10"	"100xF"	"FxTxF"	295957688
"898885x10"	"100xF"	"FxTxF"	294749636
"16777216xT"	"10x8"	"FxFxF"	24931980800
"16777216xT"	"10x8"	"FxFxF"	25380933000
"16777216xT"	"10x8"	"FxFxF"	25683583724
"16777216xT"	"10x8"	"FxFxF"	27283519852
"16777216xT"	"10x8"	"FxFxF"	23283014428
"208064xF"	"2x32"	"FxFxF"	27239940
"208064xF"	"2x32"	"FxFxF"	35000068
"208064xF"	"2x32"	"FxFxF"	34776908
"208064xF"	"2x32"	"FxFxF"	33415632
"208064xF"	"2x32"	"FxFxF"	27990992
"138xT"	"50x32"	"TxTxF"	24288
"138xT"	"50x32"	"TxTxF"	23988
"138xT"	"50x32"	"TxTxF"	24368
"138xT"	"50x32"	"TxTxF"	24000
"138xT"	"50x32"	"TxTxF"	23672
"597x500"	"2x16"	"TxFxF"	49304
"597x500"	"2x16"	"TxFxF"	61620
"597x500"	"2x16"	"TxFxF"	45116
"597x500"	"2x16"	"TxFxF"	46648
"597x500"	"2x16"	"TxFxF"	42608
"138xT"	"100x16"	"TxFxT"	20808
"138xT"	"100x16"	"TxFxT"	20048
"138xT"	"100x16"	"TxFxT"	20272
"138xT"	"100x16"	"TxFxT"	20300
"138xT"	"100x16"	"TxFxT"	19168
"2580x10"	"100x8"	"TxTxF"	515524
"2580x10"	"100x8"	"TxTxF"	509388
"2580x10"	"100x8"	"TxTxF"	506556
"2580x10"	"100x8"	"TxTxF"	506520
"2580x10"	"100x8"	"TxTxF"	502412
"138xT"	"100xF"	"CMOVxFxT"	19684
"138xT"	"100xF"	"CMOVxFxT"	19012
"138xT"	"100xF"	"CMOVxFxT"	18988
"138xT"	"100xF"	"CMOVxFxT"	18700
"138xT"	"100xF"	"CMOVxFxT"	18164
"138x10"	"100xF"	"TxTxT"	20100
"138x10"	"100xF"	"TxTxT"	19420
"138x10"	"100xF"	"TxTxT"	19532
"138x10"	"100xF"	"TxTxT"	19320
"138x10"	"100xF"	"TxTxT"	18800
"138xF"	"2x8"	"CMOVxTxT"	7100
"138xF"	"2x8"	"CMOVxTxT"	7172
"138xF"	"2x8"	"CMOVxTxT"	9284
"138xF"	"2x8"	"CMOVxTxT"	7084
"138xF"	"2x8"	"CMOVxTxT"	7104
"3883400xF"	"TxF"	"FxFxT"	3563403356
"3883400xF"	"TxF"	"FxFxT"	3833859456
"3883400xF"	"TxF"	"FxFxT"	3550290460
"3883400xF"	"TxF"	"FxFxT"	3568079416
"3883400xF"	"TxF"	"FxFxT"	3563218280
"898885xT"	"1000x16"	"CMOVxTxF"	1280947380
"898885xT"	"1000x16"	"CMOVxTxF"	983860500
"898885xT"	"1000x16"	"CMOVxTxF"	1008726392
"898885xT"	"1000x16"	"CMOVxTxF"	985685332
"898885xT"	"1000x16"	"CMOVxTxF"	1557101436
"2580xT"	"1xF"	"FxFxF"	512840
"2580xT"	"1xF"	"FxFxF"	490636
"2580xT"	"1xF"	"FxFxF"	477064
"2580xT"	"1xF"	"FxFxF"	482048
"2580xT"	"1xF"	"FxFxF"	487688
"138x10"	"1xF"	"TxFxF"	14952
