"Size*Scatter"	"Shuffle*Quick"	"Leaf*Cache*BranchMerge"	Cycles
"3883400x500"	"1000x8"	"CMOVxTxF"	7942069436
"3883400x500"	"1000x8"	"CMOVxTxF"	7976190940
"3883400x500"	"1000x8"	"CMOVxTxF"	7952188600
"3883400x500"	"1000x8"	"CMOVxTxF"	7875543128
"3883400x500"	"1000x8"	"CMOVxTxF"	7933655188
"138x10"	"Fx8"	"TxFxT"	35824
"138x10"	"Fx8"	"TxFxT"	35176
"138x10"	"Fx8"	"TxFxT"	35020
"138x10"	"Fx8"	"TxFxT"	34872
"138x10"	"Fx8"	"TxFxT"	34876
"32xT"	"Fx32"	"FxFxF"	14976
"32xT"	"Fx32"	"FxFxF"	15048
"32xT"	"Fx32"	"FxFxF"	15208
"32xT"	"Fx32"	"FxFxF"	15176
"32xT"	"Fx32"	"FxFxF"	15160
"898885xF"	"Fx32"	"CMOVxTxT"	403258288
"898885xF"	"Fx32"	"CMOVxTxT"	401660944
"898885xF"	"Fx32"	"CMOVxTxT"	403385348
"898885xF"	"Fx32"	"CMOVxTxT"	403225088
"898885xF"	"Fx32"	"CMOVxTxT"	402419312
"48160x500"	"10x8"	"TxTxT"	42875876
"48160x500"	"10x8"	"TxTxT"	47288176
"48160x500"	"10x8"	"TxTxT"	39475336
"48160x500"	"10x8"	"TxTxT"	46994804
"48160x500"	"10x8"	"TxTxT"	44486164
"208064xT"	"1000x32"	"CMOVxTxF"	539100952
"208064xT"	"1000x32"	"CMOVxTxF"	542882564
"208064xT"	"1000x32"	"CMOVxTxF"	542018900
"208064xT"	"1000x32"	"CMOVxTxF"	538164548
"208064xT"	"1000x32"	"CMOVxTxF"	539522200
"16777216xF"	"500xF"	"TxFxF"	48672710540
"16777216xF"	"500xF"	"TxFxF"	48681009864
"16777216xF"	"500xF"	"TxFxF"	48704131104
"16777216xF"	"500xF"	"TxFxF"	48845331264
"16777216xF"	"500xF"	"TxFxF"	48570592420
"597xT"	"1000x32"	"FxFxF"	962992
"597xT"	"1000x32"	"FxFxF"	966532
"597xT"	"1000x32"	"FxFxF"	979344
"597xT"	"1000x32"	"FxFxF"	966796
"597xT"	"1000x32"	"FxFxF"	965956
"2580x10"	"1x8"	"CMOVxTxF"	1501484
"2580x10"	"1x8"	"CMOVxTxF"	870656
"2580x10"	"1x8"	"CMOVxTxF"	846808
"2580x10"	"1x8"	"CMOVxTxF"	992120
"2580x10"	"1x8"	"CMOVxTxF"	1274528
"208064xT"	"FxF"	"FxFxF"	399560780
"208064xT"	"FxF"	"FxFxF"	399443580
"208064xT"	"FxF"	"FxFxF"	399425228
"208064xT"	"FxF"	"FxFxF"	399684080
"208064xT"	"FxF"	"FxFxF"	398388216
"597x500"	"5x8"	"TxFxF"	363516
"597x500"	"5x8"	"TxFxF"	399160
"597x500"	"5x8"	"TxFxF"	483156
"597x500"	"5x8"	"TxFxF"	521572
"597x500"	"5x8"	"TxFxF"	393904
"3883400xF"	"2x32"	"CMOVxFxT"	2858393000
"3883400xF"	"2x32"	"CMOVxFxT"	2361610280
"3883400xF"	"2x32"	"CMOVxFxT"	3248271104
"3883400xF"	"2x32"	"CMOVxFxT"	3056910584
"3883400xF"	"2x32"	"CMOVxFxT"	2915719912
"32xT"	"2x16"	"TxFxF"	18636
"32xT"	"2x16"	"TxFxF"	18052
"32xT"	"2x16"	"TxFxF"	18416
"32xT"	"2x16"	"TxFxF"	20676
"32xT"	"2x16"	"TxFxF"	21672
"3883400x500"	"2xF"	"TxFxT"	7801610400
"3883400x500"	"2xF"	"TxFxT"	7546736560
"3883400x500"	"2xF"	"TxFxT"	8085952204
"3883400x500"	"2xF"	"TxFxT"	7782538704
"3883400x500"	"2xF"	"TxFxT"	7871625316
"16777216xT"	"5x8"	"FxFxT"	31589078620
"16777216xT"	"5x8"	"FxFxT"	34587901472
"16777216xT"	"5x8"	"FxFxT"	31785679992
"16777216xT"	"5x8"	"FxFxT"	31904659240
"16777216xT"	"5x8"	"FxFxT"	30639716676
"898885xF"	"1000x32"	"TxFxF"	2093572556
"898885xF"	"1000x32"	"TxFxF"	2084550912
"898885xF"	"1000x32"	"TxFxF"	2098524976
"898885xF"	"1000x32"	"TxFxF"	2090061148
"898885xF"	"1000x32"	"TxFxF"	2091100664
"48160xF"	"100x32"	"TxTxF"	78499436
"48160xF"	"100x32"	"TxTxF"	78955968
"48160xF"	"100x32"	"TxTxF"	77945432
"48160xF"	"100x32"	"TxTxF"	79284432
"48160xF"	"100x32"	"TxTxF"	78734860
"208064xT"	"5x8"	"TxTxF"	202855080
"208064xT"	"5x8"	"TxTxF"	228173808
"208064xT"	"5x8"	"TxTxF"	230497048
"208064xT"	"5x8"	"TxTxF"	199723100
"208064xT"	"5x8"	"TxTxF"	230720912
"898885x10"	"500x16"	"CMOVxTxF"	1766965364
"898885x10"	"500x16"	"CMOVxTxF"	1758171368
"898885x10"	"500x16"	"CMOVxTxF"	1773605784
"898885x10"	"500x16"	"CMOVxTxF"	1771705964
"898885x10"	"500x16"	"CMOVxTxF"	1758070640
"2580xF"	"10xF"	"TxFxF"	3429404
"2580xF"	"10xF"	"TxFxF"	3290108
"2580xF"	"10xF"	"TxFxF"	3445372
"2580xF"	"10xF"	"TxFxF"	3328880
"2580xF"	"10xF"	"TxFxF"	3303952
"11148xT"	"TxF"	"TxFxT"	25326320
"11148xT"	"TxF"	"TxFxT"	25317368
"11148xT"	"TxF"	"TxFxT"	25403660
"11148xT"	"TxF"	"TxFxT"	25256352
"11148xT"	"TxF"	"TxFxT"	25483632
"11148xF"	"1000x32"	"FxTxT"	21690512
"11148xF"	"1000x32"	"FxTxT"	21590724
"11148xF"	"1000x32"	"FxTxT"	21613364
"11148xF"	"1000x32"	"FxTxT"	21544000
"11148xF"	"1000x32"	"FxTxT"	21650304
"898885xF"	"100x16"	"FxTxF"	1453185324
"898885xF"	"100x16"	"FxTxF"	1445430132
"898885xF"	"100x16"	"FxTxF"	1475530960
"898885xF"	"100x16"	"FxTxF"	1488349200
"898885xF"	"100x16"	"FxTxF"	1486746180
"208064x10"	"2xF"	"TxFxF"	343251704
"208064x10"	"2xF"	"TxFxF"	370602596
"208064x10"	"2xF"	"TxFxF"	377476504
"208064x10"	"2xF"	"TxFxF"	367505732
"208064x10"	"2xF"	"TxFxF"	351152236
"11148xT"	"1xF"	"FxTxT"	13107820
"11148xT"	"1xF"	"FxTxT"	13008756
"11148xT"	"1xF"	"FxTxT"	12932620
"11148xT"	"1xF"	"FxTxT"	13126792
"11148xT"	"1xF"	"FxTxT"	13025340
"32x500"	"2x32"	"TxTxF"	18968
"32x500"	"2x32"	"TxTxF"	18320
"32x500"	"2x32"	"TxTxF"	18604
"32x500"	"2x32"	"TxTxF"	19300
"32x500"	"2x32"	"TxTxF"	20144
"11148x10"	"Fx8"	"FxTxT"	3197232
"11148x10"	"Fx8"	"FxTxT"	3207592
"11148x10"	"Fx8"	"FxTxT"	3189204
"11148x10"	"Fx8"	"FxTxT"	3185868
"11148x10"	"Fx8"	"FxTxT"	3193280
"3883400x10"	"10x8"	"CMOVxFxT"	3909999204
"3883400x10"	"10x8"	"CMOVxFxT"	3501416148
"3883400x10"	"10x8"	"CMOVxFxT"	3808329340
"3883400x10"	"10x8"	"CMOVxFxT"	3950263924
"3883400x10"	"10x8"	"CMOVxFxT"	3643280108
"2580x10"	"100x16"	"TxTxF"	3894692
"2580x10"	"100x16"	"TxTxF"	3849964
"2580x10"	"100x16"	"TxTxF"	3867436
"2580x10"	"100x16"	"TxTxF"	3861560
"2580x10"	"100x16"	"TxTxF"	3812996
"138x500"	"100x8"	"CMOVxTxT"	150772
