"Size*Scatter"	"Shuffle*Quick"	"Leaf*Cache*BranchMerge"	Count
"88xF"	"FxF"	"FxFxT"	268
"88xF"	"FxF"	"FxFxT"	268
"3100571xF"	"Tx8"	"TxFxT"	64378198
"3100571xF"	"Tx8"	"TxFxT"	64378247
"3100571xF"	"Tx8"	"TxFxT"	64379503
"3100571xF"	"Tx8"	"TxFxT"	64377425
"3100571xF"	"Tx8"	"TxFxT"	64377051
"408797xF"	"1x8"	"TxFxT"	1514686
"408797xF"	"1x8"	"TxFxT"	914246
"408797xF"	"1x8"	"TxFxT"	1095504
"408797xF"	"1x8"	"TxFxT"	1259897
"408797xF"	"1x8"	"TxFxT"	858414
"63xF"	"10x16"	"TxFxT"	284
"63xF"	"10x16"	"TxFxT"	251
"63xF"	"10x16"	"TxFxT"	276
"63xF"	"10x16"	"TxFxT"	286
"63xF"	"10x16"	"TxFxT"	277
"668xF"	"5x8"	"FxFxT"	2583
"668xF"	"5x8"	"FxFxT"	2522
"668xF"	"5x8"	"FxFxT"	2643
"668xF"	"5x8"	"FxFxT"	3199
"668xF"	"5x8"	"FxFxT"	2792
"38452xF"	"Fx32"	"TxFxT"	82587
"38452xF"	"Fx32"	"TxFxT"	82587
"38452xF"	"Fx32"	"TxFxT"	82587
"38452xF"	"Fx32"	"TxFxT"	82587
"38452xF"	"Fx32"	"TxFxT"	82587
"208064xF"	"Fx16"	"TxFxT"	421055
"208064xF"	"Fx16"	"TxFxT"	421055
"208064xF"	"Fx16"	"TxFxT"	421055
"208064xF"	"Fx16"	"TxFxT"	421055
"208064xF"	"Fx16"	"TxFxT"	421055
"937xF"	"100xF"	"TxFxT"	7414
"937xF"	"100xF"	"TxFxT"	7429
"937xF"	"100xF"	"TxFxT"	7332
"937xF"	"100xF"	"TxFxT"	7268
"937xF"	"100xF"	"TxFxT"	7351
"291643xF"	"10x8"	"FxFxT"	1569162
"291643xF"	"10x8"	"FxFxT"	1485306
"291643xF"	"10x8"	"FxFxT"	1488423
"291643xF"	"10x8"	"FxFxT"	1470170
"291643xF"	"10x8"	"FxFxT"	1534229
"2212005xF"	"Fx8"	"TxFxT"	2851145
"2212005xF"	"Fx8"	"TxFxT"	2851145
"2212005xF"	"Fx8"	"TxFxT"	2851145
"2212005xF"	"Fx8"	"TxFxT"	2851145
"2212005xF"	"Fx8"	"TxFxT"	2851145
"1125835xF"	"1x16"	"FxFxT"	2201754
"1125835xF"	"1x16"	"FxFxT"	2558101
"1125835xF"	"1x16"	"FxFxT"	3500094
"1125835xF"	"1x16"	"FxFxT"	2750480
"1125835xF"	"1x16"	"FxFxT"	1902530
"63xF"	"100x8"	"FxFxT"	333
"63xF"	"100x8"	"FxFxT"	325
"63xF"	"100x8"	"FxFxT"	331
"63xF"	"100x8"	"FxFxT"	334
"63xF"	"100x8"	"FxFxT"	330
"7106xF"	"1x32"	"TxFxT"	24136
"7106xF"	"1x32"	"TxFxT"	20674
"7106xF"	"1x32"	"TxFxT"	18772
"7106xF"	"1x32"	"TxFxT"	19093
"7106xF"	"1x32"	"TxFxT"	29957
"937xF"	"1000x32"	"FxFxT"	8132
"937xF"	"1000x32"	"FxFxT"	8147
"937xF"	"1000x32"	"FxFxT"	8135
